DATE,government_balance,private_balance,foreign_balance,gdp,non_gov_balance,government_pct_gdp,private_pct_gdp,foreign_pct_gdp,non_gov_pct_gdp
2003-04-01,-746.797,208.835,526.038,11312.766,734.873,-6.601365218727232,1.8460118418431002,4.6499503304496885,6.495962172292789
2003-07-01,-806.466,269.879,526.651,11566.669,796.53,-6.972327123738045,2.333247367932808,4.553177755843104,6.886425123775911
2003-10-01,-714.683,197.787,511.463,11772.234,709.25,-6.0709207785030435,1.6801144115891682,4.344655398457081,6.02476981004625
2004-01-01,-755.408,194.674,548.939,11923.447,743.6129999999999,-6.335483354771485,1.6326990005490862,4.603861618204869,6.236560618753955
2004-04-01,-725.009,95.792,624.508,12112.815,720.3000000000001,-5.985470759687157,0.7908318586554819,5.15576271907067,5.9465945777261515
2004-07-01,-700.793,58.409,649.299,12305.307,707.708,-5.6950468606756415,0.4746651180665382,5.276577008602873,5.751242126669411
2004-10-01,-675.454,-61.695,728.322,12527.214,666.627,-5.391893201473208,-0.492487794971811,5.813918401968706,5.321430606996895
2005-01-01,-591.538,-122.002,688.747,12767.286,566.745,-4.633232152863185,-0.9555828858224057,5.394623414874547,4.439040529052141
2005-04-01,-582.348,-147.83,722.181,12922.656,574.351,-4.5064110659604335,-1.1439598794551213,5.588487382160448,4.444527502705326
2005-07-01,-637.749,-65.25,754.677,13142.642,689.427,-4.85251747707957,-0.496475518392725,5.742201606039334,5.2457260876466085
2005-10-01,-558.583,-296.655,839.101,13324.204,542.446,-4.192242928733304,-2.2264369413737586,6.29756944579954,4.071132504425781
2006-01-01,-488.805,-323.287,801.755,13599.16,478.468,-3.5943764173669552,-2.377257124704761,5.895621494268764,3.5183643695640026
2006-04-01,-481.587,-354.84,828.77,13753.424,473.93,-3.5015789522667222,-2.5800120755384257,6.025917618768969,3.445905543230544
2006-07-01,-481.688,-400.117,875.813,13870.188,475.69599999999997,-3.472829640088512,-2.884726580490474,6.314355652569382,3.4296290720789075
2006-10-01,-445.494,-332.273,770.888,14039.56,438.615,-3.173133630968492,-2.3666909789195674,5.490827347865603,3.1241363689460355
2007-01-01,-525.809,-292.292,805.547,14215.651,513.2550000000001,-3.6988035229621206,-2.056128136516576,5.666620543793598,3.6104924072770226
2007-04-01,-535.438,-244.819,778.679,14402.082,533.86,-3.717781915142546,-1.699886169235809,5.40671133520834,3.7068251659725306
2007-07-01,-625.076,-87.889,708.957,14564.117,621.068,-4.291890816312448,-0.6034626060749169,4.867833731354946,4.264371125280029
2007-10-01,-681.423,3.909,670.257,14715.058,674.1659999999999,-4.6307870482059945,0.026564625161518217,4.554905593984067,4.581470219145585
2008-01-01,-769.42,22.063,735.552,14706.538,757.615,-5.231822744414763,0.15002171143201748,5.001530611759205,5.151552323191223
2008-04-01,-1126.735,391.503,731.276,14865.701,1122.779,-7.579427300468373,2.6335993169780556,4.919216389459199,7.552815706437254
2008-07-01,-1080.98,382.186,719.025,14898.999,1101.211,-7.255386754506125,2.5651790432363946,4.825995357137751,7.391174400374147
2008-10-01,-1435.624,796.985,631.079,14608.209,1428.0639999999999,-9.827515474347333,5.45573382746646,4.3200299229015675,9.775763750368029
2009-01-01,-1831.711,1424.355,403.189,14430.902,1827.544,-12.69297650278548,9.87017304947397,2.7939279194051765,12.664100968879147
2009-04-01,-1989.871,1625.741,354.508,14381.236,1980.249,-13.836578441519213,11.30459857553273,2.4650732384893757,13.769671814022104
2009-07-01,-1931.0,1558.489,366.635,14448.882,1925.124,-13.36435580275346,10.786225536342535,2.537462760094518,13.323688296437053
2009-10-01,-1900.992,1487.36,408.097,14651.249,1895.4569999999999,-12.97494841566067,10.15176248796263,2.785407578562073,12.937170066524702
2010-01-01,-1951.209,1516.487,421.555,14764.61,1938.0420000000001,-13.215445582375693,10.27109419077104,2.855171928008935,13.126266118779975
2010-04-01,-1964.805,1515.815,444.135,14980.193,1959.95,-13.116019266240428,10.118794864658954,2.9648149393001813,13.083609803959135
2010-07-01,-1830.135,1352.215,472.695,15141.607,1824.9099999999999,-12.08679501455823,8.93045896647562,3.1218284822740414,12.052287448749661
2010-10-01,-1781.327,1354.154,420.758,15309.474,1774.912,-11.635455274296165,8.845202650332729,2.7483504658618574,11.593553116194586
2011-01-01,-1730.979,1247.084,476.625,15351.448,1723.709,-11.275672496822448,8.12355941928084,3.104755981325019,11.228315400605858
2011-04-01,-1763.739,1268.967,477.942,15557.539,1746.909,-11.336876610111663,8.156604974604274,3.072092571967841,11.228697546572116
2011-07-01,-1715.32,1272.362,436.398,15647.68,1708.7600000000002,-10.962136240004908,8.131314035051842,2.7888990572404344,10.920213092292277
2011-10-01,-1704.829,1247.242,450.378,15842.259,1697.62,-10.761274638926178,7.872879745243402,2.842890019661968,10.715769764905371
2012-01-01,-1566.741,1090.887,467.257,16068.805,1558.144,-9.750202333029744,6.788849575310672,2.907851579504512,9.696701154815184
2012-04-01,-1528.066,1074.747,445.744,16207.115,1520.491,-9.428365258098065,6.63132827773481,2.7502982486395635,9.381626526374374
2012-07-01,-1514.241,1109.807,397.94,16319.541,1507.747,-9.278698463394283,6.800479253675088,2.4384264238804265,9.238905677555517
2012-10-01,-1432.483,1072.159,385.07,16420.419,1457.229,-8.72379078755542,6.529425345358118,2.3450680521611535,8.87449339751927
2013-01-01,-1141.956,753.63,381.192,16648.189,1134.8220000000001,-6.859340676634558,4.526798680625262,2.289690488256711,6.816489168881974
2013-04-01,-875.241,490.594,376.726,16728.687,867.3199999999999,-5.231976663799137,2.932650960592424,2.251975902233092,5.184626862825516
2013-07-01,-1076.628,717.887,352.464,16953.838,1070.3509999999999,-6.350349696629164,4.234362744294241,2.078962887341498,6.313325631635739
